Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
60 Infuriating Airbnb Fails That Turned Dream Vacations Into Complete Nightmares,https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0001-60-infuriating-airbnb-fails-that-turned-dream-vacations-into.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/funny-airbnb-fails?utm_source=pinterest&utm_medium=social&utm_campaign=akash,25/08/2026,
99 Dumb American Posts That Might Leave Your Jaw On The Floor,https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0002-99-dumb-american-posts-that-might-leave-your-jaw-on-the-floo.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/dumb-american-posts?utm_source=pinterest&utm_medium=social&utm_campaign=akash,25/08/2026,
Woman Wants Daughter-In-Law To Stop Breastfeeding For A Shocking Reason,https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0003-woman-wants-daughter-in-law-to-stop-breastfeeding-for-a-shoc.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/nosy-mil-crossing-boundaries?utm_source=pinterest&utm_medium=social&utm_campaign=akash,25/08/2026,
"Daily Guess The Timeline Game #107 (Jul 08, 2026)",https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0004-daily-guess-the-timeline-game-107-jul-08-2026.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/guess-the-timeline-08-07-2026?utm_source=pinterest&utm_medium=social&utm_campaign=akash,25/08/2026,
Fans Are Fighting Dirty For A ‘Love And Deepspace’ Character Who Was Never Even Released,https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0005-fans-are-fighting-dirty-for-a-love-and-deepspace-character-w.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/love-and-deepspace-valko-hate?utm_source=pinterest&utm_medium=social&utm_campaign=akash,25/08/2026,
Ryanair Mocks USA After World Cup Elimination With Savage Post,https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0006-ryanair-mocks-usa-after-world-cup-elimination-with-savage-po.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/ryanair-mocks-usa-after-world-cup-elimination-belgium-win?utm_source=pinterest&utm_medium=social&utm_campaign=akash,25/08/2026,
“Can You Spot The Imposter?”: Beat All 23 General Knowledge Challenges In This Quiz,https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0007-can-you-spot-the-imposter-beat-all-23-general-knowledge-chal.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/pick-the-odd-one-out-general-knowledge-quiz?utm_source=pinterest&utm_medium=social&utm_campaign=akash,25/08/2026,
20 Horror Movies That Science Says Are The Most Terrifying Ever Committed To Film,https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0008-20-horror-movies-that-science-says-are-the-most-terrifying-e.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/scariest-horror-movies?utm_source=pinterest&utm_medium=social&utm_campaign=akash,25/08/2026,
39 Erling Haaland Memes That Prove He’s The Comedy King Of The FIFA World Cup 2026,https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0009-39-erling-haaland-memes-that-prove-hes-the-comedy-king-of-th.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/best-haaland-snapchats-memes?utm_source=pinterest&utm_medium=social&utm_campaign=akash,25/08/2026,
35 Parenting Comics By Adrienne Hedger That Capture Everyday Moments Of Family Life (New Pics),https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0010-35-parenting-comics-by-adrienne-hedger-that-capture-everyday.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/comics-parenting-everyday-moments-adrienne-hedger-part-5?utm_source=pinterest&utm_medium=social&utm_campaign=akash,25/08/2026,
52 Bird Photos By Kallol Mukherjee That Capture Nature In Beautiful Detail,https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0011-52-bird-photos-by-kallol-mukherjee-that-capture-nature-in-be.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/colorful-bird-photography-kallol-mukherjee?utm_source=pinterest&utm_medium=social&utm_campaign=akash,26/08/2026,
Here Are 39 Of The Most Unhinged Historical Photos Creepier Than Horror Movies,https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0012-here-are-39-of-the-most-unhinged-historical-photos-creepier-.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/creepy-historical-photos?utm_source=pinterest&utm_medium=social&utm_campaign=akash,26/08/2026,
"Daily Guess The Country Game #053 (Jul 08, 2026)",https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0013-daily-guess-the-country-game-053-jul-08-2026.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/guess-the-country-08-07-2026?utm_source=pinterest&utm_medium=social&utm_campaign=akash,26/08/2026,
80 Tweets By Movie Lovers That Will Make You Start Seeing Films Differently,https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0014-80-tweets-by-movie-lovers-that-will-make-you-start-seeing-fi.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/hilarious-cinephile-tweets?utm_source=pinterest&utm_medium=social&utm_campaign=akash,26/08/2026,
Mackenzie Shirilla Appears In New Prison Photo Following Legal Setback,https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0015-mackenzie-shirilla-appears-in-new-prison-photo-following-leg.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/mackenzie-shirilla-new-prison-photos-after-legal-setback?utm_source=pinterest&utm_medium=social&utm_campaign=akash,26/08/2026,
39 Stunning Images That Earned Top Honors At The 2026 iPhone Photography Awards,https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0016-39-stunning-images-that-earned-top-honors-at-the-2026-iphone.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/2026-winners-iphone-photography-awards?utm_source=pinterest&utm_medium=social&utm_campaign=akash,26/08/2026,
"34 Animals Who Found Safety, Care, And A New Beginning In Stories Shared By This Page (New Pics)",https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0017-34-animals-who-found-safety-care-and-a-new-beginning-in-stor.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/abandoned-animals-saved-stories-the-animal-rescue-site-part-2?utm_source=pinterest&utm_medium=social&utm_campaign=akash,26/08/2026,
"Daily Word Search Game #051 (Jul 08, 2026)",https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0018-daily-word-search-game-051-jul-08-2026.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/word-search-08-07-2026?utm_source=pinterest&utm_medium=social&utm_campaign=akash,26/08/2026,
99 Car Mechanics Share The Times They Were Left Shaking Their Heads In Disbelief (New Pics),https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0019-99-car-mechanics-share-the-times-they-were-left-shaking-thei.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/funny-unhinged-mechanics-fails-justrolledintotheshop?utm_source=pinterest&utm_medium=social&utm_campaign=akash,26/08/2026,
63 Mind-Blowing Facts That Sound Made Up But Aren’t,https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0020-63-mind-blowing-facts-that-sound-made-up-but-arent.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/interesting-facts-world?utm_source=pinterest&utm_medium=social&utm_campaign=akash,26/08/2026,
Ex-Employee Writes A Review With German Precision And Makes Whole Management Panic,https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0021-ex-employee-writes-a-review-with-german-precision-and-makes-.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/toxic-boss-asks-review-company-after-quitting?utm_source=pinterest&utm_medium=social&utm_campaign=akash,27/08/2026,
"Woman Fails The Only Job She Had To Do At Sister’s Gender Reveal, Doesn’t Get What’s The Big Deal",https://raw.githubusercontent.com/akashjamil29/Pin-Generation/main/pins/0022-woman-fails-the-only-job-she-had-to-do-at-sisters-gender-rev.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/gender-reveal-party-ruined-sisters-kid?utm_source=pinterest&utm_medium=social&utm_campaign=akash,27/08/2026,
